id,title,description,price,category,keywords,image_url,material,dimensions,features,url_slug,base_url
1,Eiche Schreibtisch,"Premium Schreibtisch aus massiver Eiche mit natürlicher Maserung. Perfekt für Home Office und Büro.",599.99,Möbel,"eiche schreibtisch massivholz büromöbel",/images/eiche-schreibtisch.jpg,Massivholz Eiche,160x80x75 cm,"Massivholz, Natürliche Maserung, Höhenverstellbar",eiche-schreibtisch,https://topholz24.de
2,Kiefer Regal,"Robustes Bücherregal aus Kiefernholz. Ideal für Wohnzimmer und Arbeitszimmer.",249.99,Möbel,"kiefer regal bücherregal holzregal",/images/kiefer-regal.jpg,Kiefernholz,120x200x35 cm,"5 Regalböden, Stabil, Nachhaltig",kiefer-regal,https://topholz24.de
3,Bangkirai Terrassendiele,"Hochwertige Terrassendielen aus Bangkirai-Holz. Extrem wetterfest und langlebig.",89.99,Terrassendielen,"bangkirai terrassendiele garten terrasse",/images/bangkirai-diele.jpg,Bangkirai Hartholz,400x14.5x2.5 cm,"Wetterfest, UV-beständig, 25 Jahre Lebensdauer",bangkirai-terrassendiele,https://topholz24.de
4,Lärche Zaun Element,"Zaunelemente aus sibirischer Lärche. Perfekter Sichtschutz für Ihren Garten.",179.99,Zaunelemente,"lärche zaun sichtschutz gartenzaun",/images/laerche-zaun.jpg,Sibirische Lärche,180x180 cm,"Sichtschutz, Wetterbeständig, Ohne Imprägnierung",laerche-zaun-element,https://topholz24.de
5,Douglasie Gartentisch,"Massiver Gartentisch aus Douglasienholz. Ideal für Terrasse und Balkon.",399.99,Gartenmöbel,"douglasie gartentisch holztisch outdoor",/images/douglasie-tisch.jpg,Douglasienholz,200x100x75 cm,"Massiv, Wetterfest, Große Tischplatte",douglasie-gartentisch,https://topholz24.de
6,Buche Schneidebrett,"Handgefertigtes Schneidebrett aus Buchenholz. Perfekt für Ihre Küche.",29.99,Küchenaccessoires,"buche schneidebrett holzbrett küche",/images/buche-brett.jpg,Buchenholz,40x30x2 cm,"Handgefertigt, Antibakteriell, Pflegeleicht",buche-schneidebrett,https://topholz24.de
7,Nussbaum Wandregal,"Elegantes Wandregal aus amerikanischem Nussbaum. Modern und stilvoll.",189.99,Möbel,"nussbaum wandregal holzregal design",/images/nussbaum-regal.jpg,Amerikanischer Nussbaum,80x20x15 cm,"Designer-Optik, Hochwertig, Moderne Form",nussbaum-wandregal,https://topholz24.de
8,Teak Gartenbank,"Klassische Gartenbank aus Teakholz. Zeitloses Design für Ihren Garten.",799.99,Gartenmöbel,"teak gartenbank holzbank outdoor",/images/teak-bank.jpg,Teakholz,150x60x90 cm,"Wetterfest, Klassisches Design, 30 Jahre Lebensdauer",teak-gartenbank,https://topholz24.de
9,Esche Couchtisch,"Moderner Couchtisch aus Eschenholz mit klaren Linien.",449.99,Möbel,"esche couchtisch wohnzimmertisch holztisch",/images/esche-couchtisch.jpg,Eschenholz,110x60x45 cm,"Modern, Stabil, Zeitlos",esche-couchtisch,https://topholz24.de
10,Lärche Hochbeet,"Hochbeet aus Lärchenholz für Gemüse und Kräuter. Perfekt für Balkon und Garten.",159.99,Gartenzubehör,"lärche hochbeet garten gemüse",/images/laerche-hochbeet.jpg,Lärchenholz,120x80x80 cm,"Ohne Imprägnierung, Natürlich, Einfacher Aufbau",laerche-hochbeet,https://topholz24.de
